"","score","text"
"674",0,"momstrump hillarious nastywoman riggedelection rig voterfraud email wikileak debate ht"
"675",0,"godfaithinyou release email part scapmichell"
"676",0,"wikileak release email part"
"677",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"678",0,"wilkowmajority current state healthcare venezuela system want"
"679",-1,"brothersidecar debate strongertogether pennsylvania california scandal"
"680",0,"cartoon original ebay candidata kaine clown creepyclowncraze vp"
"681",1,"put corner caught lie smile big smile "
"682",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"683",0,"order win run joke"
"684",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"685",1,"global corporate grab support nastywoman payplay agenda millionsofrefugees benghazi"
"686",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"687",-2,"exposesracism hour nytimes corroborated paint danger extremist anonymous"
"688",0,"watch live potus hitler campaign trail hillarious miami"
"689",0,"sakenmadraj deathrow lol"
"690",0,"wikileak release email part"
"691",0,"people dont use landlines anymore possible connect true voter sample"
"692",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"693",0,"kurteichenwald billmaher thejusticedept debilu russian chinese banks trumpputin gop elect"
"694",0,"wikileak release email part"
"695",1,"fair hereby speak debate snäpchat"
"696",-1,"trouble truth hillaryslies"
"697",0," trumparmy campaign full breitbart steam ahead p ctl tntweeters u"
"698",-1,"vote will ensure amazing people vote global conflict risk"
"699",1,"renee ellmers stay tv talking morals like dont know morals"
"700",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"701",0,"debate strongertogether pennsylvania california next"
"702",0,""
"703",0,"wikileak release email part"
"704",0,"lovebelfast emeraldball yearsoffriendship kennedysinger europahotel"
"705",0,"ofccadjust release email part"
"706",0,"wikileak release email part"
"707",0,"hrc nastywoman bitchesgetstuffdone debatenight donthecon madampresident "
"708",0," say open border hint wasnt said"
"709",1,"rjgatoresq lesson hillarious support trumppence hillaryshealth"
"710",1,"wilkowmajority democrat hillaryclintona brother control gold mine"
"711",0,"itsfunnytome notrump tiakanikathecomic giveabihachance"
"712",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"713",0,"la di proseguira con è gioco la democrazia più avanzata del mondo imwither piazzapulita"
"714",0,"wikileak release email part"
"715",0,"wikileak release email part"
"716",0,"watch live potus hitler campaign trail hillarious miami"
"717",0,"wikileak release email part"
"718",1,"chatrevolve look say little mr right"
"719",-2,"wikileaksobama rejected hillaryclintona execute guncontrol plansparked furor secondamendment ndamendment"
"720",2,"dvatw love smile debatenight"
"721",0,"back blowjob vote bill st line serious kick rock therealdonaldtrump madonna"
"722",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"723",1,"naphisoc now official knew won real poll russian trolls now nastywoman screw"
"724",1,"poll elect lynx best stathead wnba"
"725",0,"kattolikamente il cardinal dolan pretende che si dissoci dal suo capo staff per le dichiarazioni anti cattoliche"
"726",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"727",0,"retweet fox news vividly defended idea lateterm"
"728",0," official general elect debate result p ctl tntweeters uniteblue"
"729",-1," im far concern action may say"
"730",0,"wikileak release email part"
"731",1,"top aid lamented muslim man white man san bernardino shooter email release wiki"
"732",-1," donald lie time debatenight p ctl tntweeters u"
"733",0,"watch live potus hitler campaign trail hillarious miami"
"734",0,"blasts woman ppl may forget idea hes gop"
"735",0,"retweet wikileak wikileak release email part"
"736",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"737",0,"wikileak release email part"
"738",1,"little easier watch way debate snäpchat"
"739",0,"izzieadams usa ingodwetrust americafirst clintonfoundation trumptrain"
"740",0,"hillarious elect politi"
"741",0,"wikileak release email part"
"742",0,"retweet wikileak wikileak release email part"
"743",0,"bwahahahah tharow hiphop nastywomen mia"
"744",1,"chatrevolve look say little mr right"
"745",0,"secsam hillarious makeamericagreatagain realjameswoods retweet"
"746",0,"politweecs wasnt answer question read prepared answer"
"747",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"748",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"749",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"750",1,"chatrevolve look say little mr right"
"751",0,"hillarious tupac "
"752",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"753",0,"wikileak release email part"
"754",1,"chatrevolve look say little mr right"
"755",0,"patrioticme anyone think good presidencial basically tell world mentally inept"
"756",0,"twright elizabethforma initiated violence rallies fire yesterday staff caught"
"757",-1,"s debate perform left campaign ruining voxdotcom"
"758",1,"love potus hillaryforfl"
"759",0,"thejoshuablog bluenationrev donald flinched hillarious focused p"
"760",1,"daystotrump ill go money yeah youre good debatenight"
"761",0,"kaine ticket highest level hillarious trumptrain"
"762",-1,"twright elizabethforma activist took credit violent chicago protesters payroll"
"763",0,"deathrowrecords tupac pac snoopdogg sugeknight westcoast presidencial"
"764",0,"wikileak release email part"
"765",-1,"billclinton deplorable grope democrat"
"766",0,"wikileak release email part"
"767",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"768",-1,"vote cast pennsylvania time back hard liner"
"769",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"770",1,"thelibrepublic wont question elect result win"
"771",0,"release email part elizbethlmaness"
"772",0,"wikileak release email part"
"773",-1,"twright treat people disagree attn arizona"
"774",0," will vote november th elect debate debate decision garyjohns"
"775",0,"de tantas vecentefernandez que ha ganado los debate los demócratas se confiarán y los republicanos saldrán votar con indignación"
"776",-1,"keithjonescpa rate increase single year ca obamacare tax burns"
"777",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"778",1,"chatrevolve look say little mr right"
"779",0,"move canada usa elect"
"780",0,"wikileak release email part"
"781",0,"bwahahahah nastywomen tharow hiphop mia"
"782",-2,"almostjingo hard keep track lie hereby quick recap draintheswamp"
"783",-1,"twright earlier vote favor elect msm freaking refuse report earlier voter vo"
"784",0,"aint nothin gangsta partialbirth elect hillarious westcoast swag deathrow tupac"
"785",0,"possible scenario withdrawls elect presidencial hillaryvstrump"
"786",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"787",0,"fruitetrange whitehouse threatens war russia score politi point washingtontimes"
"788",0,"choosing equivalent choosing hitler stalin uspresidentialelection"
"789",2,"dvatw love smile debatenight"
"790",0,"momstrump hillarious uranium russia riggedelection rig stock email wikileak debate ht"
"791",0,"stillkhaleesi parenthood come sunday lunch need act civil"
"792",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"793",0,"aktweet debate poll hillarious hillaryforprison elect trumptrain trumppence"
"794",0,"patrioticme anyone think good presidencial basically tell world mentally inept"
"795",0,"wikileak release email part"
"796",0,"wikileak release email part"
"797",0,"thursdaythoughts"
"798",1,"chatrevolve look say little mr right"
"799",1,"goodejobs read account secretservice protect fact nastywoman mboteach"
"800",0,"main stream media wait flotus speak hillarious rallies phoenixconvctr michelleobama"
"801",-1," full house miami stumping voter say still undecided student"
"802",0,"thedebate v"
"803",-1,"sayin u spent ur life fightin children yet next breath mention u r late term abort can say oxymoronic"
"804",0,"wikileak release email part"
"805",0,"patrioticme anyone think good presidencial basically tell world mentally inept"
"806",1,"youre christian hereby proof muslim faith strongertogether"
"807",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"808",0,"debate elect fbi arrest charge give away classified us nuclear response time debatenight"
"809",0,"hillarious accomplishments sad manipo know trumppence"
"810",0," hole leadership wikileak"
"811",0,"ebay elect"
"812",0,"antiwhites know diversity program campaign whitegenocide"
"813",0,"katq lbgtq voterfraud obamafiles blackvotesmatter candidata latinosvote draintheswamp bluehand"
"814",1,"joecostello world think entire bush families support hillaryclintona bid whitehouse today"
"815",-1,"ezraklein voxdotcom ezraklein cause go lose kickback hrc"
"816",0,"release email part wikileak"
"817",0,"washtimes hillarious know nothin democrat tricks expose video ht"
"818",1,"chatrevolve look say little mr right"
"819",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"820",0,"jwesterman dont like babies american soldiers vote will kill"
"821",0,"billclinton want young latina celeb type campaign latina"
"822",0,"wikileak release email part"
"823",0,"godfaithinyou release email part scapmichell"
"824",0,"watch live potus hitler campaign trail hillarious miami"
"825",0,"truth james t harris obamacare debate"
"826",0,"release email part wikileak"
"827",3,"dvatw poll point win bit like poll point remain win euref"
"828",-2,"msnbc stevekornacki know clue lateterm abort stand let big lie air"
"829",0,"elmostrador video vida eeuu los momento más tensos del último debate presidencial entre y"
"830",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"831",-2,"therealdonaldtrump wikileak release true buddies want steal vote make sick"
"832",1,"support ndamendment come tweet denials justice sandyhook victims remington su"
"833",0,"wikileak release email part"
"834",0,"manpowergroupit bigdata e politica dagli usa di e e italia ce ne parla vincos di blogmeter ht"
"835",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"836",0,"wikileak release email part"
"837",0,"banebuster secret service confirm parkinsons disease us dncleak"
"838",-1,"elect suspicion rig caught rig elect end silence"
"839",0,"wikileak release email part"
"840",0,"foxnewsnow livestream potus campaign watch live"
"841",1,"islam religion truth answer consistent logic human nature"
"842",0,"katq lbgtq voterfraud obamafiles blackvotesmatter candidata latinosvote draintheswamp bluehand"
"843",0,"dailypollsx will vote presidencial retweet poll dailypoll debatenight elect"
"844",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"845",0,"iemvee sayin bruh white suge knight presidentialelection"
"846",0,"watch live potus hitler campaign trail hillarious miami"
"847",2,"support dont know accomplishments note read required"
"848",3,"smile make question brought bring inconvenient truthshes great lgbtq support n"
"849",-1,"raasch wikileak expose relentless partisanship world catholic "
"850",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"851",2,"daystotrump support tpp championed now want claim doesnt support podestaem"
"852",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"853",0,"wikileak release email part"
"854",1,"read account secretservice protect fact nastywoman mboteach"
"855",0,"will never vote hillarious part"
"856",1,"joecostello world think entire bush families support hillaryclintona bid whitehouse today"
"857",0,"siniawski dlf mmflint leider ist auch nicht ungefährlich"
"858",0,"drpaulnd guess hillaryclintona homeopathic btw complete apolitical article homeopathic"
"859",0,"watch live potus campaign miami livestream"
"860",1,"jordanchariton dem partialbirth media will anythi win even start wwiii iraq"
"861",0,"aktweet debate poll hillarious hillaryforprison elect trumptrain trumppence"
"862",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"863",0,"watch live potus hitler campaign trail hillarious miami"
"864",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"865",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"866",0,""
"867",0,"wikileak release email part"
"868",0,"wikileak release email part"
"869",1,"rtenfrancais jusquoù sont prêts à aller les support dhillaryclinton pour madonna cest une question de fellat"
"870",0,"democrat always live doublestandards remember said bush wasnt elect selected veritasvideo"
"871",0,"lucidhurricane stop whiner process debatenight"
"872",0,"dead american heros go unnamed debate wont vote"
"873",-1,"devil thursdaythoughts"
"874",0,"thelemniscat debatenight"
"875",0,"deathrow lol"
"876",-1,"lie foundation help debate"
"877",0,"livestream potus campaign watch live"
"878",0,"momstrump hillarious nastywoman riggedelection rig voterfraud email wikileak followthemoney ht"
"879",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"880",0,"nastywomenvote nastywomenfortrump bernie dncleak meangirls votetrump"
"881",0,"maryjblige singing"
"882",0,"debate candidata choice cast ballot"
"883",0,"los tigres del norte compartieron una foto con la candidata democrata acompañados de vicente"
"884",0,"rickfarrow hillarious earpiece whisper caught mic help say dozens hillar"
"885",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"886",0,"iowatrump debatenight third round trumpbookreport riggedelection"
"887",0,"release email part housecracka"
"888",0,"trumpmypres got ball deal putin strong leader will definitely collapse"
"889",0,"release email part housecracka"
"890",0,"wikileak release email part"
"891",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"892",2,"great work foundation must watch debatenight debate trumpbookreport"
"893",0,"look tho loan debate heatmiser"
"894",0,"elecciones en eeuu las frases más impactantes del último debate presidencial entre y"
"895",0,"elsudcalif paceños ya vieron el video del festejo entre vicentefdez y después del debate gt"
"896",0,"rasmussen poll elect hillarysamerica"
"897",1," gov allow dictate women right stop vaccine mandates v"
"898",0,"ncvotesearly draintheswamp minute"
"899",0,"wikileak release email part"
"900",0,"wikileak release email part"
"901",-1,"trumpmypres factcheck agree incompetent hot mess"
"902",0,"wikileak release email part"
"903",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"904",0,"thomaspaine arrest leak top secret nuclear intel nation tv debate ht"
"905",0,"grab ballot nastywomen grabhimbytheballot nastywomenvote"
"906",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"907",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"908",0,"wikileak release email part"
"909",0,"wikileak release email part"
"910",0,"thomaspaine arrest leak top secret nuclear intel nation tv debate ht"
"911",2,"dvatw love smile debatenight"
"912",0,"one nastywoman secret service agents nightmare work"
"913",0,"kattolikamente wikileak il re del marocco ha pagato milioni alla fondazione per incontrarla"
"914",0,"candidata constitution onthecase"
"915",0,"karlaiberia y porqué festejó su triunfo en el er debate con vicente fernández y los tigres del norte lasnoticiasc"
"916",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"917",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"918",0,"release email part shane"
"919",1,"awww madam presidencial official account answer back honor chente"
"920",-1,"twright treat people disagree"
"921",-2,"babbsgirl purpose cut feed guest reveal truth corrupt lie draintheswamp"
"922",0,"aktweet debate poll hillarious hillaryforprison elect trumptrain trumppence"
"923",0,"represent pantsuits may represent kilt gop inaguration ask"
"924",0,"hillaryforpresident nevertrump debatenight"
"925",0,"realnews tcot tlot ccot barackobummer hillarious trumplicans"
"926",0,"giornalettismo e lassurdo tweet sulla guerra nuclear usa"
"927",0,"reuterslegal candidata constitution alisonfrankel onthecase"
"928",0,"repost pedesigns"
"929",0,"patrioticme anyone think good presidencial basically tell world mentally inept"
"930",1,"sourcenow amazing trends hour release part po"
"931",2," let important fact sjp rihanna voguemagazine endorse justsaying"
"932",0,"kolex fbi congress senate judicialwatch foia debatenight ap policedepartment arrest debate voterrights sh"
"933",-1,"twright treat people disagree"
"934",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"935",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"936",0,"hillarious russia rig voterfraud email wikileak uranium debate followthemoney"
"937",0,"paulottoneumann said guy wikileak dncleak"
"938",0,"paulottoneumann said guy wikileak dncleak"
"939",0,"sputnikitalia wikileak accusa direzione di google al servizio di media internet manipo"
"940",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"941",2,"mileycyrus better picture perfect represent"
"942",0,"debatenounformal discuss particular topic public meet legislative assemblyhuhwhat elect"
"943",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"944",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"945",0,"madonna si votan por les haré una mamada blowjob madonnaspeech ilovemadonna"
"946",0,"katq lbgtq voterfraud obamafiles blackvotesmatter candidata latinosvote draintheswamp bluehand"
"947",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"948",0,"release email part housecracka"
"949",0,"got ball deal putin strong leader will definitely collapse"
"950",-1,"patriotsurge doctor agree hillaryshealth problem democrat ignorance support liberalsunite"
"951",1,"rtenfrancais jusquoù sont prêts à aller les support dhillaryclinton pour madonna cest une question de fellat"
"952",0,"candidata constitution alisonfrankel onthecase"
"953",0,"il dit quoi poisson sur lemissionpolitique"
"954",1,"dont mean support isnt actual nastywoman"
"955",1,"chatrevolve look say little mr right"
"956",0," woman vote nastyandproud"
"957",2,"dvatw love smile debatenight"
"958",0,"deathrowrecords"
"959",0,"vote help make moslem"
"960",-1,"honestabenotpc wikileak potus crook hillarious bobama assange"
"961",0,"claim heller decision toddlers gun supremecourt"
"962",0,"ya janetjackson janfam nastygirl hillarious"
"963",-1,"firstladyman billclinton will miss presidencial usaelection "
"964",1,"rtenfrancais jusquoù sont prêts à aller les support dhillaryclinton pour madonna cest une question de fellat"
"965",0,"sayin bruh white suge knight presidentialelection"
"966",0,"release email part housecracka"
"967",0,"secsam hillarious hillarious makeamericagreatagain trumppence realjameswoods sandrahartle"
"968",0," gun dnc behind inciting violence rallies"
"969",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"970",-1,"wer mehr über die zu erwartende aggressive außenpolitik von erfahren will danke monitor"
"971",0,"pollsters sample will larger voter turnout thatcher call oversampling"
"972",1,"chatrevolve look say little mr right"
"973",0,"wikileak release email part"
"974",0,"wikileak release email part"
"975",0,"iowatrump debatenight third round trumpbookreport riggedelection"
"976",2,"teamtrumpco vote djt guess someone els also look like enough nastywoman nastywomanunite wom"
"977",0,"release email part trueamerican"
"978",-1,"wakeupamerica im concern action action may say debatenight"
"979",0,"release email part scapmichell"
"980",-2,"made manipo mistake presidential campaign crook criminal like"
"981",2," let important fact sjp rihanna voguemagazine endorse justsaying"
"982",1,"chatrevolve look say little mr right"
"983",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"984",0,"madonna se votate hillarious vi faccio un bocchino electionday elect blowjobsact"
"985",0,"vickybrush gave away another usa secret debate time world pls vote hillar"
"986",0,"meet artist vicentefernandez worldlatinstar dot com bonchevip"
"987",0,"release email part elianabenador"
"988",0,"wikileak release email part"
"989",2,"let important fact sjp rihanna voguemagazine endorse justsaying"
"990",-1,"puzzling scientific discoveries explored earlier mohammed"
"991",-2,"jamesrichardson time ezraklein change person dont want lie cheat hrc"
"992",-1,"twright treat people disagree attn arizona"
"993",0,"wikileak release email part"
"994",0,"wikileak release email part"
"995",0,"release email part rockriver"
"996",0,"elitelegendz release email part jayizzo"
"997",0,"wikileak release email part"
"998",-1,"fiverights prior issue "
"999",0,"motherofpolitics debatenight"
"1000",-2,"real limited edition limited theyre sold"
"1001",0,"majordomo magax trumptrain"
"1002",0,"action sexual predator stalking"
"1003",0,"trumptrain trumpland trumpbookreport hillarious"
"1004",0,"release email part wikileak"
"1005",2,"dvatw love smile debatenight"
"1006",-1,"ma danney williams billclinton illegitimate son uselection"
"1007",0,"release email part monkeydogman"
"1008",-2,"ibdeditorials debate hard time explain away foundation scandal see"
"1009",0,"realscotternst hillaryclintona role model young women lenadunham sarahsilverman mileycyrus"
"1010",0,"read opposes use us troops hold syria pl"
"1011",0,"release email part wikileak"
"1012",0,"wikileak release email part"
"1013",-3,"thinkfreelife dont doubt hillaryclintona judgement doubt republican will ever learn mistake de"
"1014",0,"chadmrogers repeated deathrowrecords three debate"
"1015",0,"release email part elianabenador"
"1016",0,"wikileak release email part"
"1017",1,"check infographic regard upcoming elect vote vote presidencial"
"1018",-1,"babbsgirl corrupt clintonbodycount come light wikileak veritasvideo vote stu"
"1019",-1,"joke wikileak email"
"1020",1,"mileycyrus campaign think good idea"
"1021",-1,"vividly defended idea lateterm partialbirth abort boldly took st"
"1022",1,"still believe cardinal correct catholic must vote trumppence"
"1023",0,"realscotternst hillaryclintona role model young women lenadunham sarahsilverman mileycyrus"
"1024",0,"wikileak release email part"
"1025",0,"telemundo vicentefdez anoche viví una noche muy emotiva en mi encuentro con expresó el cantante mexicano"
"1026",0,"rig elect riggthiselection riggedsystem clintonvstrump vote debate"
"1027",0,"stillkhaleesi parenthood come sunday lunch need act civil"
"1028",-1,"keep mind nicecaring democarts back kill gay abusing women hillarygropedme"
"1029",-1,"latinafortrump coward woman debatenight wikileak"
"1030",-1,"theoptionoracle separate falling right lap another failure state philippines ht"
"1031",0,"marieclairefr après le débat des présidentielles américaines cette nuit la phrase du jour revient à"
"1032",1,"chatrevolve look say little mr right"
"1033",1,"chatrevolve look say little mr right"
"1034",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1035",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"1036",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"1037",0,"jamesrichardson time ezraklein dont half ball djt hashe least want"
"1038",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1039",-2,"democrat rule thumb lie denials deflect blame others"
"1040",1,"chatrevolve look say little mr right"
"1041",0,"wikileak release email part"
"1042",0,"onlinemagazin usa way third final tv debate lasvegas donald med"
"1043",0,"queen put pedestal americafirst trumptrain"
"1044",-1,"superherospot one american friend artist unknown debate dccomics"
"1045",0,"wikileak release email part"
"1046",0,"bbidoill vote will give blowjob si vous votez pour je vous ferai une fellat"
"1047",2,"dvatw love smile debatenight"
"1048",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"1049",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"1050",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1051",0,""
"1052",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"1053",0,"said doesnt want tear families apart support late term abort"
"1054",0,"want raise tax middle say presidentialdebate"
"1055",0,"least given new words dictionaries"
"1056",0,"herpes hillarious madonna skank std democrat "
"1057",0,"stillkhaleesi parenthood come sunday lunch need act civil"
"1058",0,"nov known zombieapocalypse bc undead will vote amongst us debate elect"
"1059",-1,"theoptionoracle separate falling right lap another failure state philippines ht"
"1060",0,"dailypollsx will vote presidencial retweet poll dailypoll debatenight elect"
"1061",-2,"foxnation debate check eight hillarious lie debunked debate lie debunked"
"1062",0,"wikileak release email part"
"1063",0,"manipo citizens vote stand everything"
"1064",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"1065",0,"sheriffali giuliani gingrich rd marriage criticizewhatever hillarious still first st"
"1066",-1,"hillarysamerica hillaryemails feelthebern hillaryvstrump strongertogether despicable"
"1067",0,"earlyvoting georgia vote"
"1068",1,"sums last night debate good"
"1069",0,"scottpresler tell us exact u done women gayswere listeningcrickets"
"1070",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1071",0,"stillkhaleesi parenthood come sunday lunch need act civil"
"1072",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"1073",0,"ill reading will elect presidentialelection debatenight debate debate"
"1074",0,"telemundo vicentefdez anoche viví una noche muy emotiva en mi encuentro con expresó el cantante mexicano"
"1075",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1076",0,"release email part savagenation"
"1077",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"1078",1,"natethagreath meme makers win leonknight miguelchines billaryblinton"
"1079",-2,"theprogrammer ppl complain explain truth danger nuclear weapons criti"
"1080",-1,"factcheck hereby som fact folks trash"
"1081",2,"dvatw love smile debatenight"
"1082",1,"guardian say someone want unions hope will change right claim haha"
"1083",1,"realscotternst dem enlisted mileycyrus millennial women vote bc mc great role model cl"
"1084",0,"debatenight deathrowrecords"
"1085",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"1086",1,"hillarious won debate change nothin race"
"1087",0,"wikileak release email part"
"1088",0,"wikileak release email part"
"1089",0," women women forever nastywoman chrisweitz"
"1090",0,"telemundo vicentefdez anoche viví una noche muy emotiva en mi encuentro con expresó el cantante mexicano"
"1091",-2,"gop mocked debate prep claim didnt need prep result im puppet youre puppet wow"
"1092",0,"wikileak release email part"
"1093",1,"best meme lolllll"
"1094",-1,"representpledge hillaryclintona debate answer abort need women politi askaboutabo"
"1095",1,"robertcreamer democracypartners communityorganizingfirm work handinhand hillaryclintona presidentialcampaign"
"1096",0,"wikileak release email part"
"1097",0,"second provided putin xijinping leader nuclear info bee"
"1098",0,"wikileak release email part"
"1099",0,"walid last night final debate confirm will push noflyzone syria mor"
"1100",0," will vote november th elect debate debate decision garyjohns"
"1101",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1102",0,"stevenj must watch single breath american watch till end h"
"1103",0,"leatherneck substance u keep reverting year ago words u laugh year old rap"
"1104",0,"wikileak release email part"
"1105",0,"hillarious accomplishments sad manipo know trumppence hillarious"
"1106",-1,"binsacksb powww wikileak dumping release email part"
"1107",0,"release email part wikileak"
"1108",0,"wikileak release email part"
"1109",0,"im still wait mortal kombat meme gif finishing rdpresidentialdebate debate"
"1110",1,"rtenfrancais jusquoù sont prêts à aller les support dhillaryclinton pour madonna cest une question de fellat"
"1111",-2,"relentless exploits voter ignorance strongertogether trumpbookreport dtmag"
"1112",1,"natethagreath meme makers win leonknight miguelchines billaryblinton"
"1113",0,"wikileak release email part"
"1114",-1," full house miami stumping voter say still undecided student"
"1115",2,"dvatw love smile debatenight"
"1116",-1,"representpledge hillaryclintona debate answer abort need women politi askaboutabo"
"1117",1,"oh yeah ive mean bring grope airplane better call attorney news"
"1118",0,"wikileak release email part"
"1119",0,"wikileak release email part"
"1120",0,"move billion qatarcentralbank"
"1121",-1,"zacmacinnes ill take eight year woman please absentee imwither"
"1122",0,"wikileak release email part"
"1123",0,"majordomo magax trumptrain"
"1124",1,"womenvc said one respect women debatenight nastywomam"
"1125",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1126",0,"wikileak release email part"
"1127",0,"hfa"
"1128",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1129",0,"hamburgonline ist ein große gefahr für unseren weltfrieden nicht nur europa neverclinton debatenight"
"1130",0,"wikileak release email part"
"1131",-1,"tekkwene look deplorable women will vote debatenight nastywomam nastywoman"
"1132",0,"votetrumppence makeamericasafeagain makeamericagreatagain nbc cbs"
"1133",0,"hillarysamerica"
"1134",0,"grrrgraphics new cartoon debatenight third round trumpbookreport riggedelection"
"1135",0,"democrat liberal democrat"
"1136",0,"wikileak release email part"
"1137",0,"watch highlighted presidentialdebate bbcnewschannel unfathomable assured presidencial"
"1138",0,"wikileak release email part"
"1139",-1,"judymorris report hillarious clintonbodycount secured detail despised fbi independentvoters"
"1140",-1,"honestabenotpc wikileak potus crook hillarious bobama assange"
"1141",1,"chatrevolve look say little mr right"
"1142",0,"michaeljohns liberal bush selected elect "
"1143",-1,"melaniatrump suffers wardrobe malfunction lasvegas trumpvsclinton"
"1144",0,"attending alsmithdinner raise catholic charities campaign staff recent denigrated wikileak"
"1145",0,"comermd want invest people people waitwhat thursdaythoughts trumpbookreport"
"1146",-1,"allow sale americafirst weapons grade uranium russia whos puppet fing"
"1147",1,"judymorris hillarious us intelligence agencies say russia hacked dem email debatenight"
"1148",0,"release email part maisdireita"
"1149",0,"leatherneck substance u keep reverting year ago words u laugh year old rap"
"1150",0,"wikileak release email part"
"1151",0,"radiolivenz video day us elect paulhenryshow talking doctor maria armoudian"
"1152",-1,"twright msm nbc freaking today reporttweet huge line northcarolina earlier voter h yo"
"1153",0,"katq lbgtq voterfraud obamafiles blackvotesmatter candidata latinosvote draintheswamp bluehand"
"1154",0,"jennbetaqueen blacklivesmatter billclinton danneywilliamsclinton"
"1155",0,"wikileak release email part"
"1156",1,"pollhq trust debate"
"1157",0,"leatherneck substance u keep reverting year ago words u laugh year old rap"
"1158",0,"wikileak release email part"
"1159",1,"rtenfrancais jusquoù sont prêts à aller les support dhillaryclinton pour madonna cest une question de fellat"
"1160",0,"curbside screen next event"
"1161",-2,"foxnation debate check eight hillarious lie debunked debate lie debunked"
"1162",0,"deniseclepper approve abort weeks yr answer god help"
"1163",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
"1164",0,"wikileak release email part"
"1165",-1,"steph leak dnc email american former dnc staffer seth rich since murder putin debate"
