"score","text"
0,"qrznow hamradio"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
0,"jonjburrows billclinton tonight rapistbillclinton maga trumppence al"
-1,"peterdaou new video star little rascals women"
1,"must see standup genius roast face al smith dinner"
0,"cowboy song western music cowboysong westernmusic "
-1,"peterdaou new video star little rascals women"
-1,"brucemirken arent sure wrong donaldtrumpdriven discussing abortion please read"
-7,"morintoon spoiled brat vile rude dishonest contempt fool morintoon elect debate"
-1,"peterdaou new video star little rascals women"
-1,"peterdaou new video star little rascals women"
-1,"sqwabb one know state finances can see hes morally bankrupt"
1,"achievements measured metrics besides phallic proxies hand"
0,"euronewsde cher wieder auf tournee und verärgert über classiccher"
-1,"zestyleftwing johnmccain tell move lose debate american way"
-1,"exchange acid joke newyork dinner newskarnataka uselection presidentialdebatee"
0,""
-2,"new theories lost debate cheated"
0,"jamiiforums marekani mgombea urais amesema atayakubali matokeo ya uchaguzi endapo yeye atatangazwa mshindi jfleo"
-1,"zestyleftwing hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
-1,"peterdaou new video star little rascals women"
-1,"one know state finances can see hes morally bankrupt"
0,"trumptrain nevertrump maga trumppence"
0," y liman asperezas con sarcasmo en una cena benéfica"
-1,"topdognews abcnews houston basharalassad come dont tell truth bias media"
1,"theshaderoom pressplay better read melania serious via cnn"
-1,"johnmccain tell move lose debate american way"
0,"ofniw lamérique doute bien tendu par le débat dhier tire sa dernière cartouche le clip de campagne je texpu"
0,"y intercambian bromas en cena de caridad fotos"
0,"johnrmoffitt disqualifies serves capacity"
-2,"created hell issue communiqués ny white house tower next"
-1,"salmahayek dyslexic mexican english second language however even confuse"
0,"trumptrain nevertrump maga trumppence"
0,"a law evidence since beginning rallies debate poll total landslide debate"
0,"vicstone watch make ass dinner christinawilkie via huffpostpol"
1,"atomicdigital make great makeamericagreatagain"
-2,"wrote joke bad almost intentional actually gettin laugh"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"gsbizzle want keep white orange"
-1,"thewrap new accusations say touched breast askd dont know"
0," hillaryroast funnier"
-1,"zestyleftwing johnmccain tell move lose debate american way"
0,"nikshmatko makeamericagreatagain work can use us presiden fight evil"
-2,"nach donaldtrumpdriven attack auf das uswahlsystem versuchen die republikaner den schaden zu begrenzen"
-1,"johnmccain tell move lose debate american way"
1,"a law let make clear world want presiden retweet"
0,"trumptrain nevertrump maga trumppence"
1,"a law let make clear world want presiden retweet"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
0,"since yesterday obsessed word big anyone else obsessed word big p shitrumpsays"
0,"report rogerailes outcome trouble paradise fnc nevertrump seanhannity cnn"
0,"medialifemin happen alsmithdinner distracted red dress mariabartiromo newyork c"
1,"make great makeamericagreatagain"
-7,"morintoon spoiled brat vile rude dishonest contempt fool morintoon elect debate"
0,"ataca con ironía en tradicional gala benéfica vía cnnee"
-1,"peterdaou new video star little rascals women"
-2,"theedanielr damn mad debate go lmao"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"debate hilaryclinton elect"
0,"cajunkangaroo just threw kitchen sink alsmithdinner fantastic"
2,"trumpapproved please make support proud alsmithdinner"
-1,"next presiden fuck"
0,"billclinton tonight rapistbillclinton maga trumppence alsmithdinner"
1,"vetsfordonald say erictrump behalf entire familiar honor vote let"
-1,"rafshmatko deplorable yes world maga makeamericagreatagain trumptrain art sculpture ht"
1,"hungarianleader viktororban say better europe elect presiden pope"
-1,"number measured washington russia fail business"
-1,"brucemirken arent sure wrong donaldtrumpdriven discussing abortion please read"
-2,"mch son catholic hater disgraced al smith dinner via thedailybeast"
0,"a law evidence since beginning rallies debate poll total landslide debate"
0,"predicted halloweensuicidesquad dinosaur"
-1,"new accusations say touched breast askd dont know"
-2,"trumpaboard fraud claim undermines us democracia obama world barackobama"
-4,"angie americafirst version suicide bomber blow usa within maybe soon hell say april fool ame"
-1,"peterdaou presiden obama scorches republican year toxic polit"
0,"want keep white orange"
0,""
0," presidential candidacy elect hrc polit"
0,"eminem sindir di lagu anyar eminem musik"
-1,"sugarballsx get soooooooo mad need go viral imwither"
-1,"thewrap new accusations say touched breast askd dont know"
-1,"themarkromano show wife debate find invited women rape"
-1,"kharyp bet blame mic debate"
0,"marekani mgombea urais amesema atayakubali matokeo ya uchaguzi endapo yeye atatangazwa mshindi jfleo"
1,"a law let make clear world want presiden retweet"
0,"presidentialelection"
-2,"zeitonlinepol nach donaldtrumpdriven attack auf das uswahlsystem versuchen die republikaner den schaden zu begrenzen"
1,"grope now sport thank annual grope champions get million dollars foundation"
0,"theedanielr woman debate loop"
-3,"girlsreallyrule cathiepeterson weird manage offend republican lack social skills big"
-2,"son catholic hater disgraced al smith dinner via thedailybeast"
0,"vote presiden "
1,"a law let make clear world want presiden retweet"
0,""
1,"arent even allowed handle topless waitresses strippers job like wtf"
2,"nikshmatko win directly white house please repost thank friend maga"
0,"mch al smith dinner crowd rains boo via thedailybeast"
0," w presiden barack go get past muslim ban th presiden gather alsmithdinner"
-2,"zeitonline nach donaldtrumpdriven attack auf das uswahlsystem versuchen die republikaner den schaden zu begrenzen"
-1,"new accusations say touched breast askd dont know"
-1,"hngover boo alsmithdinner say hate catholic watch"
1,"within dawn tv facebook hometheater socialmedia facebooklive livestream"
-1,"take break elect campaign trail get laugh donaldtrumpdriven expense"
1,"support give vote potus trumppence"
-1,"wake im far concerned actions may say maga trumptap"
-1,"peterdaou new video star little rascals women"
0,"al smith dinner crowd rains boo via thedailybeast"
-1," boo alsmithdinner say hate catholic watch"
1,"a law let make clear world want presiden retweet"
0,"stcom presiden obama call big win uselection describe danger"
-1,"zestyleftwing hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
-2,"damn mad debate go lmao"
-2,"nach donaldtrumpdriven attack auf das uswahlsystem versuchen die republikaner den schaden zu begrenzen"
-2,"nach donaldtrumpdriven attack auf das uswahlsystem versuchen die republikaner den schaden zu begrenzen"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
0,"mikesington know familiar moment silence honor death donaldtrumpdriven presiden"
0,"final vs smackdown watch debate intv historic"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
0,"mikesington know familiar moment silence honor death donaldtrumpdriven presiden"
0,""
0,"entheosshines entheosshines war go mind google caught blocking search"
0,"rafshmatko heart maga usa trumptrain art world artfortrump"
0,"photo chloemoretz halloween"
0,"goes now actually call preparation cnn"
1,"imagine sane"
0,"hvgoenka bird plane large superman hoarding time square"
0,"a law evidence since beginning rallies debate poll total landslide debate"
0,"realphilhendrie lawrence now let last time see stick fork done"
-1,"trumpaboard boldly took stand life defended kill babies"
0,"donaldtrumpdriven surprise rnc speech strictlybidness youtube trending"
-1,"zestyleftwing hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
-1,"arent sure wrong donaldtrumpdriven discussing abortion please read"
0,"a law evidence since beginning rallies debate poll total landslide debate"
3,"rafshmatko think mister go historic great person great reform usa art"
0,"medialifemin happen alsmithdinner distracted red dress mariabartiromo newyork c"
1,"a law let make clear world want presiden retweet"
1,"rafshmatko decide give prefer maga trumptrain"
-2,"boo call corrupt bipartisan dinner turn sour"
1,"rafshmatko support creativity trumpvote maga world creativity art artist"
-2,"tone deaf get boo dinner say hate catholic embarrassed"
1,"a law let make clear world want presiden retweet"
2,"god bless god bless hilaryclinton holi man popefrancis little thing matter mostjstlisten"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"jaredwyand vetsfordonald"
0,"dailypollsx vote presiden retweet poll dailypoll elect"
1,"look like tanned constipated testicle"
0,"okay one funnier"
0,"targeted specialwtn"
1,"nikshmatko urgently important convey must get acquainted project "
0,"yep can relate listeningtodonald omgdidhejustsaythat wtf presidentialelection"
1,"im thinkin love dis"
1,"talbertswan hypocritical religious right support elect patrobertson jerryfalwell jamesdobson ralphreed"
1,"parents like"
0,"a law evidence since beginning rallies debate poll total landslide debate"
1,"master theories teflon candidacy"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
1,"debate narcissist sociopath won one future debate textbooks"
2,"flicksfan billionaire doesnt pay one cent federal tax great role model pay tax support th"
0,"a law evidence since beginning rallies debate poll total landslide debate"
0,"maga gettrumpahaircut freemelania"
0,"stopteabaggers man year got twitter battle cher also parodies page"
0,"chetpowell proved can take event new low become st potus candidacy boo t"
0,"a law evidence since beginning rallies debate poll total landslide debate"
2,"nikshmatko win directly white house please repost thank friend maga"
-1,"rafshmatko deplorable yes world maga makeamericagreatagain trumptrain art sculpture ht"
0,"rafshmatko art exhibition devoted maga trumpvote art sculpture painting trumptrain artist creati"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
0,"quand eminem pose son flow pour nous parler de forcément ça claque"
0,"rafshmatko side side future presiden us exibition art maga makeamericagreatagain tr"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
-1,"rafshmatko deplorable yes world maga makeamericagreatagain trumptrain art sculpture ht"
0,"lastgreatstand "
1,"hey bernie support put yer pipes hop trumptrain now chance vote real outside"
0,"bettemidler sez im replied youre damn right im"
1,"a law let make clear world want presiden retweet"
-1,"topdognews abcnews houston basharalassad come dont tell truth bias media"
1,"a law let make clear world want presiden retweet"
-1,"peterdaou new video star little rascals women"
1,"finished al smith performance like way hes finished campaign elect"
-1,"firstpost exchange acid joke new york dinner alsmithdinner"
-1,"new music columnyahoo bad berniesanders music"
0,"losangkorner hes fing nut cnn msnbc"
-1,"sistasinzion got nerve b mad colinkaepernick stand flag yet wont bow headclose eye jesu"
2,"rafshmatko serial art work dedicated exhibition art sculpture paiting marble art maga trumptrain"
0,"sahilkapur reminds donaldtrumpdriven reaction shade bo threw"
1,"uselection mas innovation centre"
0,"rafshmatko excursion tour young people always ahead sure bet maga"
0,"mikesington know familiar moment silence honor death donaldtrumpdriven presiden"
1,"theshaderoom pressplay better read melania serious via cnn"
-1,"exchange acid joke new york dinner"
-1,"zestyleftwing hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
-1,"crowd turn dinner joke"
-1,"show class show lack social skills need potus"
-1,"exchange acid joke new york dinner alsmithdinner"
0,"rafshmatko day new people art makeamericagreatagain alwaystrump trumptrain"
1,"a law let make clear world want presiden retweet"
1,"sirzaidhamid black sound like martin luther king"
-1,"zestyleftwing hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
1,"theshaderoom pressplay better read melania serious via cnn"
2,"eaellc win final presidential debate time celebrate watch e alan new video now"
1,"a law let make clear world want presiden retweet"
0,"san francisco storiche interview campaign"
1,"a law let make clear world want presiden retweet"
0,"exchange barbaro dinner newyork nyc newyorkcity uselection"
1,"a law let make clear world want presiden retweet"
1,"vetsfordonald say erictrump behalf entire familiar honor vote let"
0,"rodriguezmonos lo el viento se llevó gone wind usa usaelection politicalcartoon"
1,"alsmithdinner oil priceless strengthen bad expect nice little bounce mxn peso cad"
-1,"geoffdrew shall ashamed shall overcome americansdangerouswomantour cnnpolitics"
0,"daniellachavezc viendo el debate de estadosunidos mis latinos en usa para quien es su voto o htt"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
-1,"tho obviouslynot thmood appear b subdued th alsmithdinner hewasnt awinner especially whn attendees loudly boo"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
0,"cajunkangaroo just threw kitchen sink alsmithdinner fantastic"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
-2,"kegan donaldtrumpdriven thin grasp fact willingness make poor source inaccurate clai miss hrc factuall"
-1,"alsmithdinner lose debate behind poll expect mexican peso cad strengthen"
-2,"silence leadership undermines electoral process unacceptable"
1,"jacyschroeder better choice garyjohnson via reason via johnstossel"
1,"znewyork backstreetboys like use song"
-1,"peterdaou new video star little rascals women"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
1,"cant expect respect women disregards wife daughter"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0,"ljubljana oct donaldtrumpelection"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"theshaderoom pressplay better read melania serious via cnn"
-2,"theedanielr goat demon devil debate"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0,"rodriguezmonos lo el viento se llevó gone wind usa usaelection politicalcartoon"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
1,"black sound like martin luther king"
0,"joshmartinezjm epidemiade da al insultar las mujer peligro peligro debate debate"
1,"elayneboosler treated women better hillside strangler"
0,"watch pm theresamay look tad uncomfortable eusummit imagine like"
1,"usa celebritysex celebrate celeb pornhub trumpvsclinton makeamericagreatagain"
1,"theshaderoom pressplay better read melania serious via cnn"
4,"stronger together thank expanding freedoms redeeming westerncivilization"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
1,"joshmartinezjm debate destino win clintonvstrump hillaryvstrump"
1,"donaldtrumpdriven riggedelection claim dismissed secure poll time"
0,"rafshmatko new presiden maga usa trumptrain"
0,"joshmartinezjm kingbach moment truth november clintonvstrump hillaryvstrump debate"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"rafshmatko nshmatkoi made portrait background flag wrote bottom"
0,"mindexit moment decide turn get roast draintheswamp alsmithdinner maga"
0,"a law evidence since beginning rallies debate poll total landslide debate"
-1,"donaldtrumpdriven thin grasp fact willingness make poor source inaccurate clai miss hrc factuall accurate"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
-3,"cspan day b poll women say accusations assange leaks triangles suppress"
0,"nfojud mikepence rallies abq elect dailylobo"
1,"reverbpress exclusive troll caught red hand impersonating progress groups gtgt"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
-1,"shareblue new video star little rascals women shareblue"
-2,"itskac donaldtrumpdriven insult boosting janetjackson applemusic strea miss hs ep gon drop soon nas"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"a law evidence since beginning rallies debate poll total landslide debate"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
1,"a law let make clear world want presiden retweet"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
-1,"get soooooooo mad need go viral imwither"
0,"a law evidence since beginning rallies debate poll total landslide debate"
0,"joshmartinezjm eldiariodedross si llega ganar ya sería el apocalipsistrump"
0,"joeharding"
1,"scottbaio say reason support simple"
1,"a law let make clear world want presiden retweet"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
0,"dailypollsx vote presiden retweet poll dailypoll elect"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
0,"get bad hombre crewneck sweatshirt hot badhombressongs badhombre jkrowling"
0,"a law evidence since beginning rallies debate poll total landslide debate"
1,"internet win drumpf"
1,"rafshmatko effect strong leader makeamericagreatagain maga usa"
0,"donaldtrumpdriven hillaryclintonforpresident memorable joke al smith dinner elect"
0,"a law evidence since beginning rallies debate poll total landslide debate"
-1,"v al smith dinner best worst joke uselection"
0,"taps lot american never accept pres via telegraphnews"
2,"whos real y dont like like"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
0,"vicstone watch make ass dinner christinawilkie via huffpostpol"
0,"a law evidence since beginning rallies debate poll total landslide debate"
1,"wtf respect democracia presiden"
-3,"spewing hate catholic fundraiser thats inappropriate"
0,"a law evidence since beginning rallies debate poll total landslide debate"
0,"rafshmatko nshmatkoi made portrait background flag wrote bottom"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
0,""
-1,"obvious american media cahoots let media shills attack stays background"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"tt violencia seguridad sociedad mujer news est en ligne"
0,"approachable trumpocene new environews science uselection usnews"
0,"joshmartinezjm dragonballsuper el plan de cero humanos para sería plan cero mexicano blackgoku gokublack zamasu g"
0,"a law evidence since beginning rallies debate poll total landslide debate"
1,"elayneboosler treated women better hillside strangler"
1,"theshaderoom pressplay better read melania serious via cnn"
-7,"morintoon spoiled brat vile rude dishonest contempt fool morintoon elect debate"
1,"pardon italian usa character candidacy uselection truth"
1,"elayneboosler treated women better hillside strangler"
1,"melonhusk cut tax tech billionaire support lifesaving selfdriving cards vote literally k"
0,"rafshmatko nshmatkoi made portrait background flag wrote bottom"
0,"sopandeb man donthecon"
0,"yogateacher grope elect"
0,"rafshmatko wait white house maga alwaystrump usa trumptrain art"
0,"rafshmatko day new people art makeamericagreatagain alwaystrump trumptrain"
0,"rafshmatko makeamericagreatagain alwaystrump usa shmatko art"
-2,"washtimes mercedes schlapp say donaldtrumpdriven voterfraud concerned ignorance elect"
1,"elayneboosler treated women better hillside strangler"
0,"rafshmatko people make decision stake candidacy become presiden"
0,"rafshmatko among candidacy presiden saw face leader presidential race"
0,"rafshmatko familiar makeamericagreatagain sculpture nikshmatko"
1,"environews hilarious japanese animals goes viral elect world presiden environews"
-1,"washtimes inside beltway ivanka say father never lie american people"
-1,"zestytrump hombre special mexican restaurantes hilarious mock donaldtrumpdriven racism"
1,"elayneboosler treated women better hillside strangler"
2,"thequint total accept result great historic presidential elect win"
0,"trumploeil ahavah teeshirt tee tee tvshow tvseries"
-3,"johnrmoffitt regularly incites polit violence serial liar con man rampant xenophobe racist misogynist"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
1,"elayneboosler treated women better hillside strangler"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
1,"a law let make clear world want presiden retweet"
-1,"scandalsrus vote vote corruptoldmedia desperately triangles get vote hillaryclint"
0,"estadosunidos debate debate en méxico trumperesunpendejo trumpwall badombre uselection"
0,"barack obama kritisiert scharf das ist gefährlich tonlinede"
0,"im uswahlkampf der einsame wütende kandidat spiegel online"
0,"whats happen today storiche via manishmalhotra parveendusanj bbluntindia smm"
1,"rafshmatko decide give prefer sculpture nikshmatko usa"
1,"dasud hillaryclintonforpresident like decide whether want mix orange juice ketchup tooth"
-1,"southpark blame starwars rise via decide"
0,"minute cant argue minute uselection debate"
-1,"check video vs redneck dick via youtube video"
2,"rafshmatko art shmatko support art progress usa maga painting"
0,"thought go hire best people guess doesnt pertain joke writers alfredesmithdinner"
0,"a law evidence since beginning rallies debate poll total landslide debate"
-1,"rafshmatko see bust us presiden conversation"
0,"perhaps us deserve"
0,""
-2,"healthranger elect total rig poll rig massive voter fraud demagogue hate democracia look"
1,"terripaddock now home cant believe earlskakel listen bbcqt british audience applauding sane plac"
0,"el lo lea againstdonaldtrump orgullosamentemexicana cervezacucapa"
0,"just cant put rig elect geniales back bottle think spent much"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"wonder julian assange considered public dnc potus"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"vicstone watch make ass dinner christinawilkie via huffpostpol"
-2,"healthranger elect total rig poll rig massive voter fraud demagogue hate democracia look"
0,"chesus crust im dominios crust pizza dominos snl"
-1,"peterdaou presiden obama scorches republican year toxic polit"
1,"elayneboosler treated women better hillside strangler"
0,"rafshmatko art trumptrain usa maga"
0,"djlordofficial voice lord alone"
2,"total accept result great historic presidential elect win"
0,"healthranger obamacare true disaster smothering us economic promise final repeal debate"
2,"healthranger guarantee win natural news add significado gdp created job pay tax g"
2,"thequint total accept result great historic presidential elect win"
1,"elayneboosler treated women better hillside strangler"
0,"sputnikfr larmée américaine votera pour présidentielle élections etatsunis"
-1,"healthranger final mentions obama huge cash payoff iran help build nuclearweapons unbelievable corrupti"
1,"took turn pokemongo fun dinner"
-1,"trumptv process setup purpose donaldtrumpdriven tantrum lose win maybe cartoon tvnews"
0,"roast alfred smith dinner nyc"
0,"spearhafoc wonderwoman kneeing crotch art comic nevertrump elect markers"
0,"vine cnnpolitics"
-2,"healthranger elect total rig poll rig massive voter fraud demagogue hate democracia look"
-1,"sistasinzion got nerve b mad colinkaepernick stand flag yet wont bow headclose eye jesu"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
1,"rafshmatko decide give prefer trumpvote usa"
0,"vicstone watch make ass dinner christinawilkie via huffpostpol"
0,"rafshmatko art trumptrain usa maga"
0,"vicbergeriv askd three time hour briefing"
-1,"sistasinzion got nerve b mad colinkaepernick stand flag yet wont bow headclose eye jesu"
0,"rafshmatko makeamericagreatagain trumptrain trumpforpresident usa art trumpvote"
1,"wow"
1," joshmeatsix call cunt mid concert made night couldnt put better great gig guy wer"
0,"spearhafoc wonderwoman kneeing crotch art comic nevertrump elect markers"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
1,"rafshmatko decide give prefer sculpture nikshmatko usa"
0,"vicstone watch make ass dinner christinawilkie via huffpostpol"
0,"pussies merch sale elect feminism"
-7,"morintoon spoiled brat vile rude dishonest contempt fool morintoon elect debate"
-1,"sistasinzion got nerve b mad colinkaepernick stand flag yet wont bow headclose eye jesu"
-1,"sistasinzion got nerve b mad colinkaepernick stand flag yet wont bow headclose eye jesu"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
-1,"jhasanjay almost certain face total rout another disastrous debate india usa leve"
2,"total accept result great historic presidential elect win"
1,"environews hilarious japanese animals goes viral elect world presiden environews"
-1,"even historic dinner doesnt stop disgraced hilaryclintonlook much hi"
0,"brentmccluskey biggest takeaway far think volume voice big hes winn"
-2,"firstpost dont worried mister final presiden usabecause obama fail declare pakistan terrorist"
-1,"got nerve b mad colinkaepernick stand flag yet wont bow headclose eye"
2,"smile jackass smile whole world watch u"
-1,"peterdaou new video star little rascals women"
0,"rafshmatko nikolai shmatko makeamericagreatagain alwaystrump usa ukraine"
0,"alecbaldwins brother isnt laugh saturdaynightlive parodies"
-2,"tension seeps joke annual dinner polit"
-2,"tension seeps joke annual dinner polit"
1,"enciende las redeeming cuento completo seguro han escuchado el nombre de d felizjueves"
1,"theshaderoom pressplay better read melania serious via cnn"
-1,"shareblue new video star little rascals women shareblue"
0,"next episode friend neverhillaryortrump"
0,"pussycats merch sale feminist feminism misogynist elect"
0,"polit republican democratic independent uselection elect uselection"
0,"ellisgbs constitutionally speak justice souter dont know ass"
-1,"holi crap animals movie now"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"theshaderoom pressplay better read melania serious via cnn"
-1,"garvangrant break think elect look like lose might rig wait thats news particula"
0,"vicstone way billion campaign via huffpostpol imwit"
1,"jookosnews repost foxbusiness right widespread voterfraud elect"
-1,"avanconia much interpretation need get say want electionfraud cuz hate"
1,"theshaderoom pressplay better read melania serious via cnn"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0,"dwturkce abd bakan aday seçim sonuçlarn ancak kendisi galip gelirse kabul edeceini söyledi"
-1,"morenava amlo amlovetrump andrestrump votoporvoto donaldlopez denuncia de sobre fraud"
1,"endorsed uspolitics"
-1,"johnrmoffitt republican sow intolerance shadow sprang like toxic fungus"
1,"rafshmatko decide give prefer sculpture nikshmatko usa"
1,"a law let make clear world want presiden retweet"
0,"rafshmatko maga usa makeamericagreatagain trumptrain"
-3,"uselection absolute nothing issue maybe grab azz say hombre wrong joke"
0,"rafshmatko familiar stand maga tramptrain usa"
1,"a law let make clear world want presiden retweet"
0,"alecbaldwins brother isnt laugh saturdaynightlive parodies"
0,"minute cant argue minute uselection debate"
0,"carlajo classiest presiden first ladiestrump ever"
0,"bring elect rig charge front center"
1,"a law let make clear world want presiden retweet"
0,"triangles awkward humor al smith dinner"
-2," criminal lie fbi samecrime star general jamescartwright ht"
0,"carlajo classiest presiden first ladiestrump ever"
0,"mhonividente prediccioncumplida aceptaría su derrota"
-2,"wrong mosul attack expert say"
-3,"securethevote criminal lie fbi crime star general jamescartwright htt"
-1,"watch tease dinner via huffpostpol"
-2,"highcrimes criminal highcrimesandmisdemeanors lie fbi presidenttrump"
-2,"silence leadership undermines electoral process unacceptable"
0,"financialxpress day debate square roast"
-2,"theedanielr goat demon devil debate"
1,"trendychicken won debate debate debateeheadache "
0,"columbusshort can believe wont source job tie completa employed outside c"
0,"rodlurie may first person hitler boo room full priests alsmithdinner"
0,"forotv lleva la delantera antastar en encuesta gracias las mujer"
-3,"changewecanbeli criminal lie fbi crime star general jamescartwright h"
-2,"changewecanbeli criminal lie fbi samecrime star general jamescartwright h"
0,"pussies stickers feminism feminist misogynist elect debate"
0,"ciccmaher damn whys gotta right clintonfoundation haiti saudiarabia tho"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0,"topiclycybersec new cybersecurity post cybersecurity"
-2,"changewecanbeli criminal lie fbi samecrime star general jamescartwright h"
-1,"movietvtechgeek true false claim rd debate movietvtechgeek"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
-1,"ladiestrump accusations sexual harassment read happen script say remembered like yesterday"
-2,"theedanielr goat demon devil debate"
0,"day debate square roast"
0,"new cybersecurity post cybersecurity"
-1,"cut cheque disgust speech sequel last night debate alfredesmithdinner"
1,"theshaderoom pressplay better read melania serious via cnn"
-2," criminal lie fbi samecrime star general jamescartwright ht"
0,"rodlurie may first person hitler boo room full priests alsmithdinner"
0,"theedanielr woman debate loop"
0,"nastywomen badhombre take twitter"
-1,"donaldtrumptune song absolute destroy neve"
0,"theedanielr grab live cnn thezone debate come"
-1,"entheosshines red alert cc secretservice gt waves assassination threat debate leftwingers htt"
0,"theedanielr grab live cnn thezone debate come"
0,"theedanielr woman debate loop"
-1,"kharyp bet blame mic debate"
-1,"peterdaou new video star little rascals women"
0,"theedanielr grab live cnn thezone debate come"
0,"doubt go laugh quit bit tonight sometimes even appropriate moment"
-2,"dam funnier game wack hell troll game ultra classic dam dude chill"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"theedanielr grab live cnn thezone debate come"
1,"theshaderoom pressplay better read melania serious via cnn"
-1,"kharyp flubs bible verse corinthians pandering makeamericagreatagain"
0,"soxfan lose loser prefer winner live"
0,"theedanielr grab live cnn thezone debate come"
0,"rafshmatko nshmatkoi made portrait background flag wrote bottom"
1,"rbargainhunters storagewars fan think won debateepoll aetv"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"gynecologichlth owned banksters wallstreet georgesoros lockherup womenfortrump debate winner h"
-2,"theedanielr goat demon devil debate"
0," donaldtrumpvhillaryclinton debate nastywoman"
0,"obstetricsgyn women gt womenfortrump billclinton rapist "
0,"way billion campaign via huffpostpol imwithher"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
-1,"thetrumppuppet im definitely puppet thetrumppuppet thetrumppuppet"
1,"mom hilarious transforms toddlers kardashians gt"
0,"kicsit már primadonnára emlékeztet amerikaielnökválasztás "
0,"hhr latest change makeamericagreatagain republican tcot ht"
-2," criminal lie fbi samecrime star general jamescartwright ht"
0,"vividly defended idea lateterm partial birth abortion boldly took st"
1,"theshaderoom pressplay better read melania serious via cnn"
0,"watch make ass dinner watch make ass"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"thequint truth im actually modest person alfredesmith memorial foundation dinner"
0,"watch make ass dinner watch make ass"
0,"owainwilliams watch watch watch debate hilaryclinton lol"
0,"theedanielr woman debate loop"
0,"cajunkangaroo just threw kitchen sink alsmithdinner fantastic"
1,"a law let make clear world want presiden retweet"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
1,"speech al smith dinner u check great speech funnier relevant tore hrc apart"
1,"theshaderoom pressplay better read melania serious via cnn"
1,"truth im actually modest person alfredesmith memorial foundation dinner"
-2,"kharyp uncle joe said may stupid know damage hes nevertrump imwithher"
0,"watch make ass dinner christinawilkie via huffpostpol"
-1,"douchebag trumptrain trumplogic donaldtrumpet trumpbooed trumptruth trumpvsclinton trumpworld"
